Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
How do I become an officer?,what are the different ways to become an officer?,i want to be an officer.,how do I advance in the navy?,what is the best way to be an officer?,can I be an officer in the Navy?,What is the naval academy?,is the naval academy hard to get into?,naval academy,what is an officer ,,,,,,,,,,,,,,,,,
What is ROTC and why should I do it?,why ROTC?,should I do ROTC?,what is the ROTC program?,what does rotc involve?,,,,,,,,,,,,,,,,,,,,,,
What does ROTC stand for?,what does ROTC mean?,define ROTC.,what the heck is ROTC?,what do you mean ROTC?,,,,,,,,,,,,,,,,,,,,,,
What's the difference between undergraduate and graduate school or education?,what is grad school?,undergrad or grad?,what are the pros and cons of undergrad vs. grad?,what's the difference between regular college and a masters degree?,bachelors vs masters?,masters vs phD?,,,,,,,,,,,,,,,,,,,,
What is the most important principle for academic success?,how do I do well in school?,how do I get good grades?,how do I pass my classes?,tell me how to get a high GPA.,do you have any tips for good grades?,I want to succeed in school.,How do I attain academic excellence?,What do you think is most important for academic success?,Do you have any tips on how to succeed in school?,,,,,,,,,,,,,,,,,
Do you have any advice for high school students?,how do I survive high school?,what do I need to do in high school?,how should I handle high school?,how should I succeed in high school?,what should i do in high school?,How do you succeed in school?,Any tips on how to succeed in school?,"School is hard, what should i do to make it not such a struggle?",,,,,,,,,,,,,,,,,,
Did you work while in college?,did you have a job in college?,did you part time in school?,is it difficult to work in college?,where should I work during college?,,,,,,,,,,,,,,,,,,,,,,
What was your favorite class in college?,what classes did you like?,what classes stood out to you?,which course did you enjoy most?,what's the best class to take?,what was your favorite course?,what is your favorite school subject?,What were your favorite classes?,,,,,,,,,,,,,,,,,,,
How do I get into a good college?,Do you have any tips for getting accepted into a good college?,What are the best ways to get into college?,I want to go to a good school.,What tips do you have for getting a reputable education?,how do I get into a competitive program?,how do I get into a good school?,,,,,,,,,,,,,,,,,,,,
Are there any military focused extracurricular activities for high school students?,Are there any extracurricular activities that help prepare you for the military in high school?,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about your education and college experience.,What is college like?,What was your college education like?,Did you enjoy college?,Does college suck?,What did you think about college?,did you like college?,how was college?,tell me about college.,i want to know about college.,do you like college?,,,,,,,,,,,,,,,,
What if I am not smart enough to succeed at a college?,I don't think I'm smart enough for college.,What if I can't do well at college?,What should I do if I don't think I am smart enough for college?,What if i'm not smart enough for college?,how do i know if I'm smart enough for this career?,,,,,,,,,,,,,,,,,,,,,
Would you recommend studying abroad? As a STEM major?,Have you studied abroad?,Did you go abroad?,,,,,,,,,,,,,,,,,,,,,,,,
How is computer science and STEM different in Japan and other nations?,How does STEM change around the world?,Why is STEM different in different places around the globe?,Is STEM different in other places?,,,,,,,,,,,,,,,,,,,,,,,
What do you give up to study STEM?,what did you give up for your education?,what did you give up to study computer science?,,,,,,,,,,,,,,,,,,,,,,,,
How is college different from the navy?,how is the Navy different from college?,What are the differences between the military and college?,What is different between college and military life?,How is college different from the navy?,tekk me the difference between college and navy,,,,,,,,,,,,,,,,,,,,,
What is your favorite college memory?,Tell me a good story about college.,Did anything cool happen in college?,,,,,,,,,,,,,,,,,,,,,,,,
What was your favorite job or internship?,Tell me about your favorite internship.,What was your favorite job?,Have you had any interesting internships?,Where have you interned?,Is this your first internship?,what is your favorite job?,What was your favorite internship?,what jobs have you had?,,,,,,,,,,,,,,,,,,
What characterizes a good career?,what should I look for in a career?,what makes a career interesting?,,,,,,,,,,,,,,,,,,,,,,,,
What don't you like about STEM/CS?,what are the negatives of computer science?,what is bad about STEM?,what are the flaws in STEM and computer science?,Can you discuss some of the negatives to computer science or your job?,,,,,,,,,,,,,,,,,,,,,,
How would you recommend overcoming bad teachers or difficult subjects?,what do I do if I have bad teachers?,how can I succeed with poor instruction?,how do you overcome confusion in education?,what if a subject is too hard?,,,,,,,,,,,,,,,,,,,,,,
How has combat or the Navy changed you?,how has deployment changed you?,how has the Navy changed you?,what effect has the Navy had on you?,have you ever seen combat?,have you been in combat?,have you experienced comabt?,Did you ever experience combat?,how has combat changed you?,what negative consequences have you personally suffered from experiencing combat?,,,,,,,,,,,,,,,,,
What types of questions can I ask you about?,what can I ask you about?,what types of things do you know about?,What types of questions should i be asking you?,what can i ask you?,,,,,,,,,,,,,,,,,,,,,,
What do you do?,what are you doing now?,Can you tell me more about the research you're doing?,"You told me you're doing research, what is it?",What's your job in japan?,,,,,,,,,,,,,,,,,,,,,,
Can you briefly tell me about yourself?,tell me about yourself.,,,,,,,,,,,,,,,,,,,,,,,,,
What distracts you and how do you overcome it?,what do you get distracted by?,how do you get past distraction?,how do you stay focused?,What distracts you?,,,,,,,,,,,,,,,,,,,,,,
What are your strengths?,what are you good at?,what are you best at?,what skills are you best at?,tell me about your strengths.,What are some of the things you do really well?,How would others describe your best characteristics and qualities?,What are your best qualities?,,,,,,,,,,,,,,,,,,,
What do you not like to do?,what do you hate doing?,tell me about something you don't like.,So you hate ironing?,,,,,,,,,,,,,,,,,,,,,,,
Do you have any regrets?,what do you regret?,tell me about your regrets.,what did you wish you did differently?,Can you tell me about an instance when you had to deal with failure?,,,,,,,,,,,,,,,,,,,,,,
Do you get to take vacations in the military?,how does vacation time work in the military?,do you get paid off time?,can you go on vacation as a military member?,do you get breaks in the military?,how often to you get leave?,how much time off do people in the Navy get?,Do you get to take vacations?,,,,,,,,,,,,,,,,,,,
Does it get claustrophobic and sea sick on the ship?,will I get sea sick?,do ships get claustrophobic?,what if I'm claustrophobic?,,,,,,,,,,,,,,,,,,,,,,,
How long are you on the ship for?,how much of your time is spent on a ship?,how much time do you spend on the ocean?,how long are you out at sea?,how long do you spend in the ship?,,,,,,,,,,,,,,,,,,,,,,
Did you miss home while in the Navy and how did you handle it?,what if you get homesick while in the navy?,did you ever get homesick?,is homesickness common?,do you miss your family?,Is it difficult to be away from your family for so long?,,,,,,,,,,,,,,,,,,,,,
What is the age limit to join the Navy?,how old do I have to be to join the military?,is there an age limit for the military?,am i too young to join?,,,,,,,,,,,,,,,,,,,,,,,
Who was your best friend in the Navy?,who was your best friend who served with you?,did you make friends in the Navy?,who did you hang out with most in the navy?,Tell me about your best friend,Who is your best friend?,,,,,,,,,,,,,,,,,,,,,
What are the reserves?,tell me about the reserves?,what do you mean reserves?,how much time is the reserves?,what type of commitment is the reserves?,Are there any civilians that work on the navy boats?,,,,,,,,,,,,,,,,,,,,,
Do you know anyone who died in the military?,Is there death in the military?,Have you ever seen anyone die?,Did anyone get shot?,Have you lost anyone?,have any of your friends died in the service?,do you know anyone who was killed?,Do you know anyone who died?,,,,,,,,,,,,,,,,,,,
What was your first position in the Navy?,what rank did you start as when you joined the Navy?,what was your first Navy job?,what did you start as doing in the Navy?,Have you experienced any casualties?,,,,,,,,,,,,,,,,,,,,,,
How do you meet people in the Navy?,is it possible to make friends in the Navy?,did you meet a lot of people in the Navy?,is the navy lonely?,What's the ratio of girls to guys in the navy?,,,,,,,,,,,,,,,,,,,,,,
Have you ever worked with someone you didn't get along with and how did you handle it?,how do you get past personal differences?,what do you do when you don't get along with someone?,have you ever met someone you hate?,is there anyone you dislike?,,,,,,,,,,,,,,,,,,,,,,
Who is the military a good option for?,if I'm poor should I join the military?,what kind of person should consider the military?,if i'm poor should I join the navy?,,,,,,,,,,,,,,,,,,,,,,,
Why are you in Japan?,what are you doing in Japan?,why Japan?,what brought you to Japan?,Could you see yourself living in japan?,,,,,,,,,,,,,,,,,,,,,,
How much do you have to study in college?,how much time do you spend studying?,do you have any free time in college?,can you have a life in college?,,,,,,,,,,,,,,,,,,,,,,,
Do you want to be a professor?,do you want to be a teacher?,are you going to be a professor?,do you want to teach?,do you want to go into education?,,,,,,,,,,,,,,,,,,,,,,
