Topics,Helpers,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Education,,What courses were just a waste of time for you?,"Many of my math classes, I took them all right up through difference equations, and I'm glad that I took all of those classes, differential equations like wrapped everything up. It's like ah this is what we've been studying our whole entire lives since elementary school for, I finally get it. But I haven't used any of it at all. Yes you have to know a little bit of chemistry when you see like the nuclear power gauge like move up and down and stuff. You kind of know like where the calculus is in that, but I I never use it I just know it's there and all that effort just to understand why a gauge like moves up and down like acceleration and stuff like it's, yeah there are other things I could have learned to help me you know. But math but I'm not gonna tell kids not to learn math so. But I never used it, you're never gonna use it yeah. You might use it sometimes you know, not all this stuff you're gonna learn.",What classes are the worst?,What classes should I not take?,Are there any worthless courses?,Were there any courses that you regret taking?,What are the most useless courses you've taken?,What are the worst classes you've ever taken?,,,,
"Background, Decisions, Education",,What influenced you the most in your college decision?,"The things that interested me the most and influenced me the most when I close my college, well there are many things. So I went to three different colleges. I went to Pasadena City College, that's in the Los Angeles area. I went to University of California, Berkeley it's up near San Francisco, and I went to USC, that's also near the Los Angeles area. One big thing was the landscape. All three of those places were absolutely beautiful, Berkeley is kind of up on a hill, USC has beautiful pristine buildings, and my community college, it looked like a university. It was right beside Caltech, California Institute of Technology and you can tell that they're right beside each other because I couldn't tell the difference that it was a community college so. The people around is another big thing that's very important. So I like diversity. All three of my universities you walk around and you know all different shapes, sizes, and colors. Right now where I'm at in Japan it's not so much. So you can kind of really tell the difference and for me I just like seeing people similar to me, and different than me, and smarter than me, and people that I could trash in math you know. So I like that whole entire spectrum of people. Also I think the biggest thing for me when I decided my university was the reputation. So I tried to go to the best that I could. In fact I wasn't accepted to Berkeley the first time that I applied, and I said you know what I came from Washington all the way back to California my hometown specifically to go to this university, so once I was rejected, I went back to my university, I studied even harder, I got a 4.0 that semester, I took on another job, I did research, I did all the things, I took extra classes, I did all of the things to make me a really more mature, more intelligent person to finally get into that university, because I realize that worldwide, wherever I mentioned that university people would automatically know the process that I had to go through the schooling that I got, and it would give me you know the jobs that I needed, and maybe the math and the science and engineering and the programming that I required to do my future things. So reputation was probably the biggest thing for me when I chose the college that I did.",What was the deciding factor for your college decision?,Why did you choose your college?,What made you decide to go to the college you chose?,What aspects did you rely on when choosing your college?,How did you make your college decision?,,,,,
"Background, Education",,What extracurriculars did you do in college?,"In college I was pretty involved in a lot of things. At my current university, USC, I am involved in archery, shooting bows and arrows. At my undergrad UC Berkeley I was a resident computing consultant which is kind of a job to help students get their wifi and their computer set up. When I was in Japan I was part of that aikido club which meant that, it's kind of like martial arts where you people attack you and you put them on the ground a certain way. So I was pretty involved in college.",What activities did you do outside of the classroom in college?,What things did you do for fun in college?,How were you involved in college?,In what ways did you get involved during college?,What did you do to make friends in college?,Were you involved in college?,,,,
"Education, Challenges",,What was the most difficult part of your education?,"One of the most difficult parts of my education would have to be when I try to balance my home life and my school life. The more you put at school, the less you can do outside of school obviously. So if you don't have that much time, then paying for school is very very difficult. When I graduated from high school and I tried to do college at the same time I was working, it was very very difficult so one of them had to give and unfortunately I couldn't stay in school that whole entire time. After that then I joined the military, I did my eight years, and then I had a good scholarship to help me pay for the rest of my education. I still had to work a little bit, but that was more for my own personal benefit, I didn't need the money, but when I needed the money and I had to work that was really difficult.",What challenges did you face in college?,What was hard for you in college?,Did you struggle at all in college?,Was college hard for you?,In what ways is college difficult?,,,,,
"Education, Background, Decisions",,"Given the chance to do school over, what would you do differently?","If I had to do school all over again, of course I would try harder. The goal when you're at college is to get a 4.0 in as many classes as you can, and even though it doesn't really matter as long as you get the information then that's the only thing that matters, when you try to go on to get a masters or a PHD, they really do look at your at your grades. They also look at your intelligence, how well you know it, if you're an expert or not. So I did waste a lot of time, I did play lots of video games, I did watch lots of Netflix, and maybe college isn't the right place to do that. You have the whole rest of your life to really enjoy things to the maximum, but college is the place to study, so of course I should relax a little bit, but I wish I would have really studied a little bit harder. So that's something that I would have changed.",Would you do college differently if you had a second chance?,What would you do differently in college?,What do you regret not doing in college?,Is there anything in college that you would like to do over?,What would you change if you could start college over?,How would you modify what you did in college if you could?,,,,
"Education, Training, Military, Opportunities",,What opportunities are there for future education and training?,"I think that the military has one of the best educational systems in all of America. I've been to a public university, private university, community college, and I think that the best education that I've ever received was from the military, and there's a reason for this. They want to make sure that the people that go through their educational system, whether it's for two weeks, whether it's for two years, you need to know your stuff very well. People's lives are gonna be at risk and you have to be able to handle multimillion dollar equipment without breaking it. After that, after your military career if you choose to do something else, people know this. So that's why sixty percent of the nuclear technologists outside are ex-Navy because they know that the Navy people know their jobs well. Regardless of what your job is, whether it's being a spy as a crytotechnologist, whether it's being the nuclear Navy, whether it's being the cook. At the end, people will know that you've done your job well, you have the education for it, and you have lots of work experience with it. So your future education looks bright with a job in military.",How can I continue to be educated in my career?,What chances did you have to continue your learning in your career?,Does your career allow you to continue your education?,How does your career give you the opportunity to continue learning and growing?,Are there ways to continue your education throughout your career?,,,,,
"Skills, Growth/Learning, JobSpecific",,How do you continue to improve your skills during your career?,"There are two different major career paths that I chose. One is the military, and I'm still in the military because I'm in the reserves, and one is computer science. With the military, they provide so much training for you. In fact, even though some of the us are pushing it away, they provide you with training here and there, it's really required if you want to progress in your career. So they give you books that you can read, we have online video tutorials all the time. When you're at work people come up to you and they provide you training over and over and over. So it's pretty much handed to you on a plate. That's in contrast with my computer science career, where I don't have a main supervisor. And if I do have a main supervisor, he's not providing me with required material to learn. So basically it's hands on learning, it's manual learning, it's learning on your own at your own free pace. So both of those ways I found are really comfortable. I like the online video tutorials and the instant training that I get from the military because it's so easy and it's very very clear what I am supposed to learn. With computer science I have a wide range of things that I can learn, and it basically is going to dictate what I can do for my future careers. So if I wanna learn python, then while I'm whittling down that path then I can become a Google web developer because they use python a lot. However if I say well python is too easy I wanna learn something a little bit more complex and I learn Perl. Well not many people use, many people use Perl but it's a different style of programming and those jobs can hire me, so I can learn at my own pace. I think both of those have been really interesting and really fun and enjoyable for me.",How do you make sure to grow during your career?,In what ways can you learn during your career?,Is college the end of learning?,How can I make sure to never stop learning?,Do you still have the opportunity to learn and grow while working?,How do you learn and grow outside of structured education?,,,,
"Lifestyle, Military",Navy,How do you stay in touch with family?,"When you're in the military, especially when you're on deployment, when you're, the ship that you're on is traveling overseas, it can be pretty difficult to stay in touch with family. If you're a high level supervisor then you have access to your computer and it always has internet. But if you just got to the ship, or you've only been in for a couple of years, then it could be awhile before you get behind the computer that allows you to make email conversation. Also you don't have access to phones as much as you would like, and if you do, then have to use a phone card and that can be pretty expensive. However you can kind of tell your family you know my contact with you will be limited, and you can probably still can get a hold of them a couple times per week, no problem for an hour or two and send out emails whenever computers are free, which could be a couple times per day.",How do you keep your connection with family?,What ways are there to contact your family?,Does the Navy allow you to talk to your family?,How do you talk to family while serving?,What opportunities are there to stay in touch with people outside of the Navy?,,,,,
"Military, Opportunities, JobSpecific, Decisions",,Can you change branches? Can you switch to the Army or Air Force?,"A lot of people ask whether you can switch between branches. If you can go from the army to the airforce, from the marines to the Coast Guard. It really, I haven't seen it so much, but it really depends on what's going on in the world. When I was going through nuke school, there was this program that you could go from being in the Navy, I think it was called the blue to green program where they were they were looking for helicopter pilots. So they were sucking people from other branches to get to this undermanned job. But for the most part, it's really not possible.",Can I switch branches once I am in?,Does the military allow you to switch branches?,Can I change from Navy to Air Force?,Can I become a Marine if I join the Navy?,How can you switch branches in the military?,,,,,
"Lifestyle, Military",Navy,Do you need to exercise all the time or be in great shape?,"Exercise is a really big part of all of the services. Every six months we have this training that requires you to, it's not training, it's a physical fitness exam where they look at how much you weigh, they request that you do push ups, sit ups, and you run a mile and half. I think that's pretty standard for all military services. However, they don't all provide you with the same amount of time to do it. For instance, in the Navy, they don't give me any time to exercise, you always have to do that outside of your working hours. I think for the marines they probably do, it's probably inherent in you know waking up in the morning and you all PT together. Probably the army is similar that way too, depending on what type of job you have. I think the airforce is similar to the Navy where you pretty much work out on your own time, during lunch time or after or before work. In any case all of the services require you to be in shape.",Do the services make you work out all the time?,Do I have to be fit to join the military?,How athletic do I have to be to be in the military?,Does the military force you to work out a lot?,Do I get to work out if I am in the military?,If I am out of shape can I still join?,,,,
"Lifestyle, Military, Culture",Navy,What types of uniforms do you wear?,"I'm not really familiar with the types of uniforms that the other services wear, I'm very familiar with what the Navy wears, and I have to say I really like the uniforms that we wear. These ones are called camies, and we have matching top and bottom and a cool hat, and it looks very very military. When we're working and we can get greasy in lower parts of the ships, we also have these things called coveralls, which are all blue, it's one size and you just put your legs in and you put the tops and you zip up and it looks like an oil changer for a car. It's the same type of uniform and you can wear these belts that allow you to put in you know wrenches and tools and fuse pullers and things like that, so it's very, it's work related. In our off time, not our off time, in our non shipboard time then you can have these nicer uniforms. So we have our blues, our dress blues, which is really nice for the lower classes for E1 2 3 4 5 and 6 it looks like the cracker jacks that you see everywhere, when you see the guy kissing the girl in the famous statue, the uniform that he's wearing, he's wearing his dress blues. Those are like the really nice uniforms that you wear for special occasions, and they also come in a white color as well. And it's, they get dirty very very fast but those are the coolest ones to look at, it's kinda like the button up one. If you remember Tom Cruise from Top Gun, he looks really so cool like an officer, well those are the uniforms that we wear. I think they're some of the nicest uniforms in all of the services.",What are the uniforms like?,How are the Navy uniforms?,How would you describe the uniforms of the military?,What uniforms do you have to wear?,Do you have to wear the same uniform every day?,Are the uniforms comfortable?,,,,
"Opportunities, JobSpecific, Military, STEM",Navy,How transferable is your job to the civilian sector?,"My job in particular is very transferable to the civilian world because everybody needs power, and nuclear technology is one of the main ways, one of the cheapest ways, one of the cleanest ways to produce that power. So for my field, I think sixty percent of the people that are employed by the nuclear companies are ex-Navy. There are many jobs out there that can be transferable, anything that's engineering related is highly transferable. Even though you're on a ship or on a submarine or with military equipment. The concepts the chemistry, the math and science, they're all transferable. Other jobs aren't quite as transferable. So for instance if you're working with weapons, once you get out the civilian side, although there are some weapons companies, many of them are aren't really looking for, well you might not be looking to get back into the weapons section. However, depending on what you learned, the same concepts, the engineering concepts can be transferable. So it really depends on what type of job you want, what type of job you do, and the education that you receive while you're there. That's gonna dictate what you can do on the outside.",Is your military experience applicable to civilian jobs?,Does the military teach you skills that you can use after you get out?,Is it hard to get a job after leaving the military?,How prepared are you for an outside career after leaving the military?,What jobs can you get after you leave the military?,Will I be able to get employed after leaving the military?,,,,
"Miscellaneous, Military",Navy,Do you get to fly in helicopters or planes?,"Personally I have not really traveled so much in planes and trains and automobiles in the military. Basically you just go to work and it's just like a full time job. You go there, you do your job ,and you go home in your own car. However there are some opportunities you know, few and far between, that you do get to ride in the cool, or at least see the cool military vehicles. So for instance when I got to my first aircraft carrier I did something that most people don't do, I actually flew in because they were fighting the Iraq war. I actually flew in on a huge jet to land on the aircraft carrier. Mostly only the officers do that, they're the ones who take off in the jets on the aircraft carrier. Also if you're on leave, you can actually take off in a jet to go to different places in America and across the world as long as you're on leave and you have the right permission to. So you can go from a military base, we call Space-A flights, and it's either cheap or very very free. But otherwise you don't really get to do it so much. The thing I used to do was I would go up on vulture's row, which is like one of the highest points on the aircraft carrier, and you see the jets take off. So that's about as close as I could get to dealing with Navy jets.",Did you fly in a helicopter?,Have you flown in a helicopter or plane?,What is it like to fly in a helicopter?,Have you had the chance to fly in a helicopter or plane?,,,,,,
"Military, Decisions",,"Is it possible to quit the military? (Either deployment, or the service?)","You are allowed to quit the military on very special occasions. For the most part, you're on contract. The contract could be anywhere from two years to four years, I think the maximum is six years. My contract was four years and then I did a two year extension. During that time if I wanted to stop the military, I didn't really have that choice. There are ways you can get out if you do something bad or if you do something that's against the rules, also if you have a family emergency if you can present your case the right way, then you can ask the commanding officer who you know sends it up to the big Navy to try to get you either, give you temporary leave or full leave. But for the most part you have to stick with your contract and it's generally four years.",Can I quit the military if I don't like it?,Can you leave the military?,Are you committed once you join the military?,What opportunities are there to get out of the military?,How can I quit if I end up hating the military?,What if I find out the military isn't for me?,,,,
"Military, Risk","Navy, Negative",What happens if you get into trouble in the Navy?,"If you do something bad in the Navy, then your punishment can range from just having extended watch, which means that you have to work a little bit longer at the end of the day, or doing extra cleaning duties, getting a write up that says hey you know what he did this on this date with this thing and you know from now on he has to make sure that he doesn't do it again and if he does then the punishment will be more severe. That's a report. However, depending on how severe it is, for instance, it goes up after that. If you were caught drinking underage, then you could be behind bars, down in the brig, you might not be reduced in rate. If it's even worse, for instance if you desert the ship during time of war you could actually be put to death. Those are few and far between and that's, they haven't done that for a long time. But those are the ranges of the punishments that you can have. Either almost nothing, you know just a day's worth of work to death.",What are the punishments like in the Navy?,How do you get punished in the Navy?,What if I do something wrong as a Navy sailor?,Can I get into trouble in the military?,What are the impacts if I get into trouble in the Navy?,,,,,
"Combat, Military",Navy,Have you killed anyone?,"Being in the Navy means you're going to be pretty much on a submarine or an aircraft or a destroyer or something similar to that where there aren't that many enemies in the local area. In fact, they say that during wartime, being on one of those Navy vessels is one of the safest places that you can be. So I haven't really seen or been up close and personal to enemies. What we do is we support. We support the army people and the marines that are on the land who do shoot people, who are faced with combat situations. However, in the military we can do something special, we can actually join those people, and join their unit, join their brigade, or whatever you call it that actually go fight. That's not technically our job, Seals do that yes, and special forces also do that, but the vast majority of the people in the Navy are there in a support type of role to put the ship in a really safe spot so that the officers can fly their jets and their helicopters to go fight the war.",Did you shoot anyone in the Navy?,What is it like to kill someone?,How many people have you killed?,Is it hard to kill someone?,,,,,,
"Motivation, JobSpecific",Positive,Are you happy with your job?,"Being in the military can have a lot of advantages and disadvantages. I really like supporting my country, I really like protecting the people around me, I like knowing that the job I was doing had a really, has a really big effect on the safety of America. However the job is pretty hard, and it has a high rate of people doing their job and then leaving after four years or six years or eight years. For me it was eight years. Being in the military you're gonna work harder than you've ever worked in your life. Your days are going to be in the morning until night, there's gonna be lots of training, there's going to be lots of cleaning, there's going to be lots of listening to people. You're gonna be dealing with people that you don't like, that you do like, there's going to be lots of studying that you're going to be doing that's going to make you pull your hair out. There's really great opportunities as well. You're gonna have some of the funnest times in your life, some of the meet some of the coolest people, and travel to some of the nicest places on earth. Taking all of it into consideration, I realize that the military isn't quite the job for me. There are many boring times, there many fun times, but I think that the job that is best suited for me is one that's fun all the time. So good on you if you wanted to join the military the whole entire time, if you one experience that and have a great career, have a good retirement plan, if you're satisfied with salary that you get and you have a happy family life. But for me I just wanted to experience something different and something maybe on a bigger scale.",Do you like your job?,Are you satisfied with your work?,How content are you with your work?,Do you enjoy doing what you do?,Were you happy with your career?,,,,,
"Benefits, Military",,What is the best military perk you experienced?,"I've experienced so many great things in the military and I'm really proud of them. One of the best things I've experienced is this thing called MWR(Morale, Welfare, Recreation), it's morale, welfare, and recreation, and they provide you with pool tables and bowling and of all of these things that you can do around the community, hiking, skiing, fishing, all at very cheap prices, and sometimes they even provided the gear for it. I also had a great time with the USO(United Service Organization). So I'm not an active duty military member anymore, however whenever I go to an airport, there is always the USO there that takes care of me. I can put my bags down, I can sit back and relax, watch some TV, have some free snacks, so the USO and the recreation center when you're active duty, they are some of the biggest military perks that I've experienced.",What are the best benefits of joining the military?,How does the Navy take care of its members?,What perks come with joining the military?,What are the extra pluses of being in the military?,,,,,,
"Military, Combat",,Is the military like it is in video games?,"What you see in video games can be similar to what you'll experience depending on which service you join. I joined the Navy, and I don't think that there are that many video games out there that really showcase the Navy life. A lot of it is taking care of equipment, and I don't think that that's so, I don't think anyone has made the right video game that shows the fun in doing that. What they do show is the combat situations that army people and marine people experience. I've never experienced it myself, but I can imagine what it's like. I have experienced boot camp, I've experienced walking around, I've seen it themselves, and I've heard it based on the stories that they've told me, and for the most part, it can be true, especially in wartime. I'm not saying that that's fun, but I think that the video game simulations that we have are very similar to the life that is shown, that I've seen.",Do video games portray the military accurately?,Will my military experience be like playing a video game?,How accurate are video game representations of the military?,How is the military different than it is shown in games?,,,,,,
"Lifestyle, Military",Navy,"Can you use outside communication on a deployment, like using the internet and email, calling by phone, and writing mail?","While you're on deployment, while the ship that you're on is out there in the middle of the ocean, we do have internet service. However the computers that can access that internet are basically being used a lot for for work related things. Most people have laptops, but they're mainly used to watch DVDs, to you know do their little odd non wifi connected things. There's no wifi on the ship, there's no outside communication in that regard. However, there are, you can still access Facebook, you can still access Google, you can still access normal internet things, but to be able to get behind a computer and use those things, you'd have to be a high level or it would have to be like for instance in the middle of the night. And even though you can access those things, there are probably some procedures in place that says you know you should limit your use or don't use those things at all. Like for instance social media, normal web browsing is fine, but don't expect so much of it. I didn't really use it so much.",Can I call people while on a Navy ship?,Can I use my phone and the internet while deployed?,If I am in the middle of the ocean do I have access to a phone or internet?,"How can I use the internet, mail, or a phone while on a ship?",Is it possible to use outside communication while on a ship in the Navy?,,,,,
"Lifestyle, Military",,Can you have a cell phone or laptop while in the military?,"Most people in the Navy they have their own cell phone, they have their own laptop. However, there are lots of restrictions in place that say that you can't really use them outside of the living spaces. So you can use it in your bed, you can use it on the table right outside your bed in the adjacent area, but otherwise you're not allowed to use them so much. One of the reasons is that they have cameras on them and cameras aren't really allowed on the ship. They don't want you taking pictures of sensitive equipment, and in many cases you'll put it in your pocket and if you go down to the plants where there's lots of sensitive equipment, then you could get in a lot of trouble for that. If they think that you took any picture of any classified equipment, then they're going to take your camera, and it's probably not gonna get back to you for a long time, if ever. But otherwise don't be scared. Bring your laptop, bring your cell phone, you can take pictures of you know normal stuff, but that's about it.",Does the military take away my phone and laptop?,Can I bring my phone and laptop while in the military?,How easy is it to use my phone and laptop during my service?,Are you allowed to use phones and laptops in the military?,Is cell phone and laptop use prohibited?,,,,,
"Lifestyle, Military, Culture",Navy,Can you drink alcohol when deployed?,"During the vast majority of the time, alcohol is not allowed at all. There are lots of young people and the commanding officer doesn't want to see one sip of it go into their mouths. There are a few instances where alcohol is tolerated. I think I saw maybe four or five instances while we were deployed that everyone got a blue ticket, and you give your blue ticket to the guy, the whole ship stops, nobody's working, except to make the ship you know like kinda sit in the water and make sure everything's safe. But for that one day that one evening you give a blue ticket, they give you one case of alcohol, and then you're done. Yeah some people would kind of like swap something out to get like two or three, but no one was drunk. It's just to get some alcohol on your tongue, and then that's it. Later on that night everything was cleared, all of the alcohol was gone, and back to work as usual.",Can I get drunk while on my ship?,Does the Navy allow you to drink?,How often are service members allowed to drink on deployment?,Is it possible to drink while serving in the Navy?,Does the Navy look down on alcohol on the ship?,,,,,
Travel,Navy,Where have you been in port?,"The Navy gave me an opportunity to explore the world. I've been to mostly Asian places, Asian oriented places because my ship was stationed in San Diego, so that means we have to go a little bit more west. So I went so Hong Kong, Malaysia, Kuwait, Japan, Hawaii. I've been to Singapore, I've been to Australia, a couple of places Hobart, Perth. I've also been to Kuwait and Bahrain, also Dubai. I'm really happy with the things that I've been.",Where have you travelled?,Where have your ships ported?,What ports have you been to?,Where have your ships docked?,Which countries have you been to on your aircraft carrier?,,,,,
"Education, Training, Opportunities, Skills",,"How important is it to have the right training, degree or experience?","Depending on the type of job you have, the amount of training that you've done before really comes into play into whether you can get that job later on or not. So you can start your career without any type of training, and the military provides all the training for you. There are other STEM jobs, for instance if you wanna go to NASA, if you want to work at DARPA, like really high level places like that, that you need a degree. You have to have a bachelor's of science something that's accredited by an institution to even be considered for the job at all. So in that case, your training is definitely required. Not only do you need a degree that says that you can do the job, but you're gonna be tested and grilled during the interview process where they're going to see if you learned the thing that your degree says that you do know. So in those cases it's very hard to have that degree. Middle jobs in between, it varies. They're gonna really grill you pretty hard during the interview process with questions that you don't really know about. Simple questions and hard questions. The simple questions of course they're going to want you to know, the harder questions what they're looking for is the way that you're trying to solve the problem. They're not going to expect you to know, maybe you'd have to be seasoned to know it, and they want to see the way that the question stews in your mind. They want to see if you know how to attack the problem, and if you know to ask them the right questions, to ask your teammates the right questions, so that they can provide you with the answers so you can finally come up with a solution. If you can't, you don't have a structure in your mind, then you probably won't get the job. So for those types of jobs, you just have to have a basic introduction and you learn the rest on the job during your work experience there.",Does having the right training matter?,Do I need relevant experience?,Is it essential to have extensive training and education?,"Do I have to be trained, educated, or experienced to succeed?",How much does your training and prior knowledge matter?,,,,,
"Military, Decisions, Advice",Navy,Why shouldn't I join the Navy?,"You should not join the Navy if you know yourself as a person number one doesn't get along with people, number two can't follow directions. You're kind of setting yourself up for failure in a big way if you join the military knowing that for instance you do drugs. That's a sure fire way to get kicked out and then you're going to have that stigma against you for the rest of your life. People are going to ask you, have you ever been in the service? And if so, were you kicked out? And if you mark yes that you were kicked out, then that could be a bar for entrance to a lot of jobs. Not only that, you could be wasting your time. Even though you join the service and you get that training experience, if it's in a job that you don't want to do, and then you quit that job, then I gotta tell you could have spent your time doing a job that you would have eventually been doing later on without wasting people's time in the military. So if you can follow directions and you can get along with people, then you'll be fine.",What reasons are there to not join the Navy?,Is there any reason I should not join the Navy?,For what reason should I reconsider joining the Navy?,Is a Navy career for everyone?,How do I know if I should not join the Navy?,,,,,
"STEM, Education",,How can I study STEM and another area?,"If you want to study STEM and you want to study something humanities oriented like music, then those opportunities are available. What I would suggest is you should first figure out what type of job you want to do, and then try to combine the classes that you're taking and the job that you have into both of them. As an example, I wanted to do computer science education. Therefore in my classes, I took computer science as a major and education as a minor. I'm really glad I got to see both of those parts of my undergraduate university. When I'm doing computer science, it's very math oriented, science oriented, lots of homework every night. The education part was very writing intensive, talking and debating, and I like both of them. The reason I chose those majors is because I knew what my future job was going to be. So if your job is very technically oriented, then I suggest that you stick with an engineering major and really focus hard at that. But if that's not your cup of tea, kind of like me, then that's when should try to focus, that's when you have the opportunity to do both of them.",Is it possible to double major in a STEM field and something else?,Can I study two things at once?,Is it hard to study STEM and other fields?,How realistic is it to study STEM and another area?,Do a lot of people study STEM and other things?,How difficult is dual study in STEM and something else?,,,,
"Education, Military, Management",,What is the typical education level at each stage of a career in the military?,"The typical education level that you can experience in the military, it really depends on well number one whether you go enlisted or officer. Starting with the officers because they're easy, in order to be an officer you automatically have to have a degree. There are some officers who don't, but ninety-nine percent of them, they start off with a degree. You can become a lieutenant and even higher, there are many captains who don't have advanced degrees. However, to get very high, you are generally expected to get a master's at least. That's around the O5/O6-ish level because they like to see education. Going to enlisted people, you don't need any degree for the whole entire time that you're in. However, education is looked upon highly and if you do have a degree your chances for promotion to be honest, are a lot higher. Up to my rate, E7, it's really not looked on as being a requirement. However, from my rate and above, that's E7 and above, so that's E7, E8, and E9, they really spur on the education. So education in any way, if you've taken vocational classes, that's a check mark. If you have your degree while you're in the military, that's another big check mark too. So any education at all, whether it's from a traditional college, whether it's your own personal learning and you took CLEP (College Level Examination Program) classes or online classes, anything will set you apart from the others.",Is everyone in the military educated?,Is anyone in the military educated?,Do I have to be educated to be promoted in the military?,How many high ranking officials in the military are educated?,What is the average level of education in the military?,Do military members normally get educated?,,,,
"Education, JobSpecific, Skills",,In what ways did your education prepare you for your career?,"The personal education that I've done really set me up to be successful in my future career. Number one it gave me the knowledge that I needed. Yes I could have, so for computer science I could've taken a book and learned it on my own, and I did do that. I could have opened up my computer and took online classes, and I did do that, but there really is a different style of learning that you go through when you're listening from a lecture and then you have other teammates, other peers that you're working on to solve a big group project. So for instance, I'm taking game development at the University of Southern California and we made our own game. Now it would have been very very difficult for me to do that all on my own. The artwork that's involved, the production that's involved, the design that's involved, the programming. Just by myself, I think it would have been, for the game that I created, it's a really big one, it would be too much for me to do by myself. What I needed was a group of ten other people, or twenty other people, sometimes even thirty other people, to all come together to create this one lasting project that I can call my own that was in a safe environment like a community college class. So that would have been very very difficult to do my own, and that's how my college helped prepare me for my future job.",How did your education ready you for your career?,Did your education help you in your career?,To what extent did college further your career?,Why is college worthwhile in helping my career?,Did going to college give you career advantages?,Did you learn things in college that made a difference in your career?,,,,
"Ethics, Military, Culture",,Is sexual harassment common in the military?,"Sexual harassment is a really big topic for the US military. I won't lie it is very very apparent. It's common throughout the whole entire time that I've been in the military. People don't generally take it too far. There's lots of training that we have, we have it all the time throughout every single year about don't touch people, don't say certain words, don't post certain pictures. However, when you get this many young people, in their twenties, young twenties, around each other, they're college level, they're college style people, then with this type of young personality, it's gonna pop up. It's going to show up. Even though they know that they're not supposed to. You can see it in the bars that we go to, they kind of forget that they're still in the military. So outside of working hours you can see them kind of drinking and kinda you know hugging each other, like touching each other inappropriately, that happens a lot. However, whether it's guys and guys, girls and girls, guys and girls together, generally because we all work together, we're all friends, we don't want to see each other get in trouble. We take it for what it is. If it gets out of hand then you know it does show up, and I have seen people get in trouble big time for this. But for the most part even though it's there, it's very very limited, and I think it's manageable.",How common is sexual harassment in the service?,Is it normal for women to get sexually abused in the military?,Will I be harassed if I join the military?,How many people do you know who have been sexually harassed while in the military?,Do a lot of people experience sexual abuse in the military?,,,,,
"STEM, Fit, Recognition",,What kinds of people succeed in STEM fields?,"The biggest and brightest stars that we have in the STEM fields, obviously, are the ones who are good at math and science but in the general sense, it's more your ability to think about things logically. So, if you're good at puzzles, if you get some kind of question that you don't know the answer to but you're willing to, kind of, research that until you find the solution, then STEM is a good career for you. This is what I mean. For me, as an electrician, there isn't that much math that I did and there's not that much science that I did. However, when I'm looking at a circuit and I see that one part is open and I'm familiar with most of the things on the circuit. Well, this is a short, this is a motor, this is a generator, this is a capacitor but there are some things on there that I don't know. If I put down the circuit and say, ""Well, I guess that's it."" Then, maybe STEM isn't good enough for me, well, maybe I'm not good enough for STEM. However if I can look at it and I realize that I don't know the situation and I can turn around to other people or I can look in the book myself and figure out, ""Okay, well, so that's what this thing does. Well, let's look at the power. I don't understand the way that this math works."" So, let me again look to see, like, ""Okay, well this goes up, this goes down, this is the function for this"" and then look at another book, it's like,""Oh, okay"" and then I can backtrack all the way to that component to kind of figure out what it does at the end. If I'm willing to do that process, then STEM is for me. It's kind of like a goose chase. If you like goose chases and the goose chase that you're doing is math and science oriented and that's fun for you, that sounds like something that's fun, then STEM is for you. If you just look at a problem and you get really frustrated and you want to throw the book out the window, if you found yourself doing that a lot, then there are other jobs that you might find more interesting and more fun, more satisfying than STEM.",Who is good in the STEM field?,What makes someone successful in STEM?,What characterizes effective workers in the STEM field?,Is there a certain kind of person that does better in STEM?,Are some people more apt to succeed in STEM?,,,,,
"Skills, Growth/Learning",,What kinds of new skills have you learned recently?,"I'm always learning new skills. My current job as an English teacher in Japan has me making lesson plans and building my self-confidence. So, what I mean is, I'm in front of thirty other kids and I had never been a teacher before, so it's really interesting to have on your mind that each of these kids has to learn a certain thing. So, before I have to make some kind of activity that teaches them some simple English words, then I have to distribute that to them, to unbright kids to really geniuses that already know English and everyone in between and make sure that I'm doing a good effort. During that, I have to sound confident. I learned lots of self-confidence being a Chief in the military because I talked to thirty people all the time. Not teaching them, well I teach them sometimes but not one hour of strong teaching of the military things. It's just, kind of, explain to them what to do and supervising them but teaching kids is a little bit different. So, the confidence that I learned and teaching ability that I learned are the two newest skills that I learned.",What have you learned recently?,Have you learned anything new lately?,What is the newest thing you have learned?,Have you improved any skills lately?,What skills have you developed recently?,,,,,
